Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
63077535,I nie było już nikogo,Agatha Christie,"Christie, Agatha",Agata Christie,"=""8327163728""","=""9788327163721""",5,4.28,Dolnoslaskie,Paperback,216,2022,1939,2023/03/15,2023/03/10,,,read,,,,1,0
6363206,Równi bogom,Isaac Asimov,"Asimov, Isaac",Romuald Pawlikowski,"=""8372458359""","=""""",0,4.09,Amber,Paperback,247,2001,1972,,2023/03/19,to-read,to-read (#1),to-read,,,,0,0
18481111,"Czas Żniw (Czas Żniw, #1)",Samantha Shannon,"Shannon, Samantha",Regina Kołek,"=""8379240820""","=""9788379240821""",5,3.84,Sine Qua Non,Paperback,520,2013,2013,,2023/02/08,,,read,,,,2,0
61959064,Nick i Charlie,Alice Oseman,"Oseman, Alice",Natalia Mętrak-Ruda,"=""8382661394""","=""9788382661392""",5,4.14,Jaguar,Paperback,178,2022,2015,2023/02/10,2023/02/08,,,read,,,,1,0
27264289,"This Winter (Solitaire, #0.5)",Alice Oseman,"Oseman, Alice",,"=""0008147884""","=""9780008147884""",5,4.07,HarperCollins Children's Books,ebook,120,2015,2015,,2023/01/30,,,read,,,,1,0
5929499,"Harry Potter i Insygnia Śmierci (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.","Andrzej Polkowski, Mary GrandPré","=""8372782806""","=""9788372782809""",5,4.62,Media Rodzina,Paperback,784,2008,2007,2023/01/23,2022/12/28,,,read,,,,1,0
22037471,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.","Jonny Duddle, Tomislav Tomić","=""1408855941""","=""9781408855942""",5,4.58,Bloomsbury,Hardcover,542,2014,2005,2023/01/07,2022/12/28,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.50,Scholastic Inc.,Paperback,912,2004,2003,2022/12/28,2022/12/21,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",0,4.57,Scholastic,Paperback,734,2002,2000,,2022/12/21,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2022/12/21,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2022/12/21,,,read,,,,1,0
72193,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.47,Bloomsbury Publishing,Paperback,223,1997,1997,,2022/12/21,,,read,,,,1,0
